iter	PRAUC	Logloss
0	0.56877374	0.6864009727
1	0.572740961	0.6801878168
2	0.5817736386	0.6734551412
3	0.5902679793	0.6676853972
4	0.5942355686	0.662143973
5	0.596941169	0.6566612079
6	0.5968993439	0.6522424191
7	0.5971868658	0.6479855295
8	0.5973413822	0.6440821646
9	0.5987586938	0.6400298003
10	0.5998557252	0.636284024
11	0.5996035917	0.6329660995
12	0.5991103952	0.6298634151
13	0.5995891292	0.6271871747
14	0.6010545512	0.6241802465
15	0.6027341138	0.6213906189
16	0.6039823291	0.6189248699
17	0.6047151883	0.6163784642
18	0.6059380766	0.614282617
19	0.6059521577	0.6124082776
20	0.6078350109	0.6103087292
21	0.6086767882	0.6086281053
22	0.6090043021	0.6068267498
23	0.6101418201	0.6052146384
24	0.6106021232	0.6034927503
25	0.6112141267	0.6020172248
26	0.6115211106	0.6006524047
27	0.612114254	0.5991925001
28	0.6131830953	0.597902541
29	0.6137453142	0.5966274233
30	0.6145457445	0.5955481423
31	0.6151026604	0.5944268817
32	0.6154461305	0.593703604
33	0.6161737693	0.5925343379
34	0.6167375154	0.5914883145
35	0.6169790663	0.5904059635
36	0.6172675311	0.5894790604
37	0.6177181223	0.5885866117
38	0.6181627676	0.5875799087
39	0.618681463	0.5865568725
40	0.619176405	0.5858323157
41	0.6200300621	0.5851513738
42	0.6203140505	0.5844124957
43	0.6207952137	0.5836872588
44	0.620984363	0.5830442043
45	0.6214314972	0.5824740606
46	0.6218689328	0.581697049
47	0.6223924862	0.5811234901
48	0.6229347478	0.5805400811
49	0.6232700289	0.5799643313
50	0.6235546554	0.5794994894
51	0.6238335871	0.5789750346
52	0.6241152074	0.5784034935
53	0.6244770505	0.5779775561
54	0.6248044054	0.5774375227
55	0.625187676	0.5769869169
56	0.6256358927	0.5765815492
57	0.6259484838	0.5760240091
58	0.6262733342	0.5755778723
59	0.6264355417	0.57519611
60	0.6266838714	0.5747725781
61	0.6271430677	0.5743844228
62	0.6276315661	0.5739742624
63	0.6278932251	0.573635841
64	0.6283167838	0.5733104425
65	0.6286184485	0.572934765
66	0.6289516738	0.5725700077
67	0.6291318686	0.57228684
68	0.6293165234	0.5719259754
69	0.6295717314	0.5715850084
70	0.6296771892	0.5712580928
71	0.6298031712	0.5710201287
72	0.6300389455	0.5707774635
73	0.6301885261	0.5705535588
74	0.6304029469	0.570276552
75	0.630749405	0.57003447
76	0.6308844562	0.5697005032
77	0.6311361199	0.5695236427
78	0.6315994106	0.5691717652
79	0.6316898158	0.5688946232
80	0.6319533539	0.5686764732
81	0.6321809977	0.5684530588
82	0.6323654386	0.5681989851
83	0.6325474363	0.5679582439
84	0.6327982179	0.5677714561
85	0.6331255791	0.5674727424
86	0.6332975707	0.5672664005
87	0.6336202558	0.5669548263
88	0.6337735778	0.5668178661
89	0.6338913198	0.5666664201
90	0.6340697716	0.5665260173
91	0.634266223	0.5663187499
92	0.6343661158	0.566208765
93	0.634503296	0.5659431968
94	0.6347528883	0.5657265155
95	0.6350604336	0.5655377874
96	0.6352343851	0.5653730248
97	0.6354079783	0.5652218467
98	0.6356852772	0.565003199
99	0.635755638	0.5648657891
100	0.6359834983	0.5646462549
101	0.6361636442	0.5645110109
102	0.636425162	0.56429757
103	0.6366555502	0.5640696444
104	0.6367493593	0.5639730722
105	0.6369675071	0.5637492201
106	0.6371154929	0.5636551631
107	0.6372793033	0.5634872943
108	0.6373680395	0.5633433738
109	0.6375065372	0.5631804605
110	0.6376636225	0.562980248
111	0.637846078	0.5628429659
112	0.6380942691	0.5626804878
113	0.6382887628	0.5625412053
114	0.6384353842	0.5624025281
115	0.6385989504	0.5622710444
116	0.6387488639	0.5621121439
117	0.6389707375	0.5619196718
118	0.639109744	0.5617892432
119	0.6392919142	0.5616124692
120	0.6394070207	0.5615330015
121	0.6395004953	0.5614672439
122	0.6395760307	0.5613439964
123	0.6396653595	0.5612398806
124	0.6398446243	0.5611139605
125	0.6399791892	0.5609595031
126	0.6400831656	0.5609012806
127	0.6401846684	0.5608141204
128	0.6403458843	0.560690618
129	0.6405069222	0.560565963
130	0.6406122166	0.5604600875
131	0.6408551763	0.560310086
132	0.6410224397	0.5602066603
133	0.641161565	0.5600577773
134	0.6413567559	0.5599307146
135	0.641555723	0.5597970933
136	0.6417145722	0.5596763069
137	0.6418132053	0.5595874289
138	0.6419689897	0.5594983408
139	0.6420483213	0.559439801
140	0.6421533945	0.5593778968
141	0.642252572	0.5592862469
142	0.6423674621	0.5592172858
143	0.64248458	0.5591265837
144	0.6426075462	0.5590017546
145	0.6427129903	0.5589454436
146	0.6427831248	0.5588597311
147	0.6429021756	0.5587863599
148	0.6429673096	0.5586968662
149	0.6430713092	0.558578744
150	0.6432391414	0.558486141
151	0.6433163465	0.5583833573
152	0.6433247599	0.5583656595
153	0.6434436206	0.558288747
154	0.6436049872	0.5582133121
155	0.6436506779	0.5581436344
156	0.6437592796	0.5580433756
157	0.6438343989	0.5579859642
158	0.6439168323	0.5578858984
159	0.6440877725	0.5577649837
160	0.6441946637	0.5576862048
161	0.6442850542	0.55760453
162	0.6444424884	0.5575046233
163	0.6445437779	0.557433765
164	0.6445897562	0.5573911382
165	0.6447416826	0.5572939709
166	0.6448995391	0.5572220732
167	0.6450861885	0.5571012332
168	0.6451762458	0.5570012167
169	0.6452257039	0.5569364985
170	0.6453234897	0.5568480736
171	0.6454437397	0.5567825183
172	0.6455580561	0.556708504
173	0.6456402502	0.5566468349
174	0.6456864148	0.5565956933
175	0.6457714879	0.55653207
176	0.6458473627	0.556483176
177	0.6458916118	0.5564319191
178	0.6460011586	0.5563695943
179	0.6460934514	0.5562902021
180	0.6462667595	0.5561448976
181	0.6463897074	0.5560724211
182	0.6464527433	0.5559755856
183	0.6465339148	0.5559135086
184	0.6466236162	0.5558450311
185	0.6467347303	0.5557795484
186	0.646790427	0.5557441492
187	0.6469029263	0.55567012
188	0.6470086049	0.5556036076
189	0.6470631056	0.5555563101
190	0.6471583105	0.5554970474
191	0.6471936182	0.5554244078
192	0.6472604092	0.5553577737
193	0.6472927598	0.5553154577
194	0.6473654136	0.5552342227
195	0.6475112927	0.5551592378
196	0.6475661315	0.5551342267
197	0.6476053948	0.5551095325
198	0.6476252599	0.5550539559
199	0.6477307922	0.5549841904
200	0.647811457	0.5549412259
201	0.6478642219	0.5548763309
202	0.6479208838	0.5547970169
203	0.6479678143	0.5547451803
204	0.648044378	0.5546792231
205	0.6480675936	0.5546294463
206	0.6481592795	0.5545936695
207	0.6482378523	0.5545171389
208	0.648294584	0.5544558689
209	0.6483148575	0.5544398712
210	0.6483760683	0.5543786695
211	0.6484528725	0.554335552
212	0.6485213817	0.5542940625
213	0.6486919118	0.554211723
214	0.6487698007	0.5541630304
215	0.648843896	0.5540961611
216	0.6488923325	0.5540356278
217	0.6489920766	0.553990503
218	0.6490468909	0.5539405016
219	0.64923358	0.5538410319
220	0.6493077798	0.5537981976
221	0.6493880622	0.5537328258
222	0.6494183068	0.5537103704
223	0.6494339459	0.553685882
224	0.6494987653	0.5536541374
225	0.649568813	0.5535995336
226	0.6496338364	0.5535523759
227	0.6498144459	0.5534561548
228	0.6498540557	0.5534193764
229	0.6499250131	0.553382303
230	0.6500252975	0.5533180556
231	0.6500542902	0.5532949983
232	0.6502045151	0.5532117447
233	0.6502584315	0.5531745557
234	0.6503556963	0.5531394372
235	0.6504370208	0.5530851665
236	0.6504791512	0.5530473994
237	0.6505665725	0.5529946543
238	0.650629384	0.5529366355
239	0.65069689	0.5528907206
240	0.6507846143	0.5528263006
241	0.650853045	0.5527820761
242	0.6509025612	0.5527350624
243	0.6509525658	0.5527036285
244	0.6509913696	0.5526733333
245	0.6510790503	0.5526332805
246	0.6511147565	0.5526022964
247	0.6512224517	0.5525548484
248	0.6512818298	0.5525157311
249	0.6513863291	0.552429853
250	0.6514939947	0.5523516013
251	0.651561779	0.5523062523
252	0.6516250769	0.5522637345
253	0.6516537122	0.5522312174
254	0.6517556395	0.5521517118
255	0.6518156352	0.5521238491
256	0.6518770045	0.5520904471
257	0.6519890192	0.5520293536
258	0.6520203184	0.5520108948
259	0.6520863129	0.551975896
260	0.6521332327	0.5519273411
261	0.6521843124	0.5519005499
262	0.6522514062	0.5518673476
263	0.6522735089	0.5518547239
264	0.6523432249	0.5517982901
265	0.6524474884	0.5517345665
266	0.6524910944	0.5517125715
267	0.6525876441	0.5516490077
268	0.6526010904	0.5516444087
269	0.6527071421	0.5515312813
270	0.6527464614	0.5514906475
271	0.6527605048	0.5514863952
272	0.6528254017	0.5514575428
273	0.6529199645	0.551414988
