iter	Passed	Remaining
0	40	33094
1	81	33074
2	128	34481
3	178	36066
4	217	35096
5	275	36982
6	312	35858
7	359	36086
8	400	35646
9	440	35247
10	479	34845
11	519	34596
12	556	34178
13	594	33817
14	644	34181
15	686	34094
16	729	34084
17	771	33968
18	813	33892
19	856	33892
20	900	33892
21	957	34340
22	1001	34301
23	1047	34355
24	1093	34377
25	1143	34531
26	1196	34746
27	1244	34799
28	1289	34769
29	1332	34692
30	1373	34566
31	1418	34533
32	1474	34773
33	1517	34678
34	1565	34717
35	1609	34650
36	1657	34679
37	1702	34623
38	1749	34626
39	1800	34709
40	1845	34664
41	1886	34549
42	1929	34459
43	1968	34316
44	2018	34365
45	2061	34288
46	2101	34159
47	2146	34121
48	2186	34003
49	2230	33954
50	2287	34087
51	2333	34056
52	2389	34170
53	2431	34087
54	2475	34024
55	2521	33993
56	2563	33909
57	2611	33905
58	2662	33932
59	2724	34097
60	2772	34089
61	2818	34049
62	2865	34016
63	2912	33989
64	2959	33970
65	3005	33920
66	3053	33902
67	3098	33850
68	3146	33840
69	3188	33754
70	3234	33713
71	3279	33661
72	3323	33601
73	3366	33524
74	3414	33505
75	3460	33462
76	3505	33418
77	3551	33377
78	3593	33293
79	3637	33237
80	3684	33204
81	3733	33189
82	3777	33131
83	3827	33126
84	3874	33092
85	3919	33038
86	3965	32998
87	4005	32911
88	4054	32890
89	4100	32850
90	4143	32787
91	4197	32800
92	4243	32764
93	4286	32696
94	4332	32654
95	4378	32610
96	4429	32602
97	4470	32528
98	4516	32480
99	4563	32443
100	4608	32395
101	4652	32336
102	4699	32305
103	4749	32287
104	4791	32218
105	4839	32184
106	4878	32096
107	4924	32053
108	4967	31993
109	5015	31963
110	5063	31934
111	5107	31879
112	5154	31836
113	5200	31794
114	5249	31768
115	5289	31689
116	5334	31640
117	5384	31623
118	5433	31595
119	5480	31556
120	5521	31488
121	5574	31481
122	5620	31436
123	5662	31373
124	5709	31331
125	5752	31272
126	5803	31254
127	5854	31241
128	5899	31191
129	5943	31132
130	5993	31111
131	6091	31336
132	6135	31279
133	6184	31245
134	6228	31188
135	6275	31144
136	6321	31098
137	6370	31067
138	6418	31028
139	6465	30989
140	6515	30959
141	6562	30916
142	6607	30864
143	6651	30807
144	6695	30750
145	6743	30717
146	6787	30658
147	6837	30628
148	6885	30592
149	6933	30552
150	6979	30507
151	7021	30442
152	7078	30442
153	7126	30404
154	7176	30374
155	7227	30345
156	7272	30295
157	7319	30249
158	7362	30190
159	7410	30149
160	7462	30128
161	7506	30073
162	7558	30049
163	7602	29993
164	7654	29969
165	7700	29919
166	7745	29867
167	7788	29808
168	7831	29749
169	7878	29705
170	7922	29651
171	7967	29601
172	8015	29560
173	8065	29525
174	8112	29484
175	8157	29431
176	8198	29367
177	8247	29330
178	8292	29276
179	8339	29234
180	8382	29176
181	8430	29136
182	8471	29071
183	8513	29011
184	8560	28965
185	8607	28922
186	8660	28897
187	8701	28833
188	8743	28774
189	8789	28728
190	8832	28670
191	8882	28636
192	8926	28583
193	8977	28553
194	9020	28496
195	9065	28446
196	9117	28416
197	9149	28326
198	9198	28288
199	9243	28239
200	9289	28190
201	9337	28150
202	9384	28107
203	9431	28063
204	9475	28010
205	9523	27970
206	9566	27914
207	9618	27885
208	9664	27838
209	9707	27783
210	9752	27731
211	9795	27678
212	9845	27641
213	9891	27593
214	9935	27541
