iter	Passed	Remaining
0	133	107800
1	181	73375
2	241	65150
3	323	65213
4	431	69562
5	503	67535
6	561	64530
7	613	61602
8	661	58955
9	719	57597
10	768	55903
11	817	54440
12	876	53790
13	928	52867
14	1005	53348
15	1094	54364
16	1164	54401
17	1242	54726
18	1296	54052
19	1343	53129
20	1389	52279
21	1436	51509
22	1490	51082
23	1546	50714
24	1596	50205
25	1640	49542
26	1687	48989
27	1741	48686
28	1786	48177
29	1828	47590
30	1873	47147
31	1934	47089
32	1992	46982
33	2042	46687
34	2093	46405
35	2136	46001
36	2194	45902
37	2248	45741
38	2295	45436
39	2346	45237
40	2400	45077
41	2472	45273
42	2535	45286
43	2589	45146
44	2636	44884
45	2685	44653
46	2734	44445
47	2869	45614
48	2928	45534
49	2987	45470
50	3045	45385
51	3109	45391
52	3164	45258
53	3221	45159
54	3339	45898
55	3401	45854
56	3467	45867
57	3515	45634
58	3567	45474
59	3617	45279
60	3672	45158
61	3738	45159
62	3797	45086
63	3849	44928
64	3906	44830
65	3958	44684
66	4013	44569
67	4063	44394
68	4210	45282
69	4366	46222
70	4421	46087
71	4478	45970
72	4553	46031
73	4618	45998
74	4673	45867
75	4733	45780
76	4793	45691
77	4851	45593
78	4908	45478
79	4953	45261
80	4999	45057
81	5047	44873
82	5111	44835
83	5169	44738
84	5236	44728
85	5312	44788
86	5362	44628
87	5415	44495
88	5474	44410
89	5578	44687
90	5652	44724
91	5816	45457
92	5881	45408
93	5940	45309
94	5992	45166
95	6059	45129
96	6112	44996
97	6171	44900
98	6230	44808
99	6301	44803
100	6364	44738
101	6432	44710
102	6484	44572
103	6545	44496
104	6598	44363
105	6652	44244
106	6704	44112
107	6763	44025
108	6819	43920
109	6870	43785
110	6928	43693
111	6985	43594
112	7041	43495
113	7094	43377
114	7148	43265
115	7203	43156
116	7274	43147
117	7331	43059
118	7392	42985
119	7455	42930
120	7515	42855
121	7578	42802
122	7630	42680
123	7692	42618
124	7744	42501
125	7796	42386
126	7842	42237
127	7895	42131
128	7950	42031
129	7998	41901
130	8051	41793
131	8107	41706
132	8172	41661
133	8241	41636
134	8300	41564
135	8352	41457
136	8417	41409
137	8468	41297
138	8536	41269
139	8598	41210
140	8658	41143
141	8717	41071
142	8773	40983
143	8833	40916
144	8894	40854
145	8947	40754
146	8996	40636
147	9057	40573
148	9106	40459
149	9170	40409
150	9221	40305
151	9267	40179
152	9331	40130
153	9379	40014
154	9434	39931
155	9482	39814
156	9528	39690
157	9581	39599
158	9641	39537
159	9709	39506
160	9771	39450
161	9832	39390
162	9888	39311
163	9915	39118
164	9975	39054
165	10028	38967
166	10079	38871
167	10130	38771
168	10189	38707
169	10245	38630
170	10304	38564
171	10358	38482
172	10411	38395
173	10467	38319
174	10526	38257
175	10577	38163
176	10628	38069
177	10681	37984
178	10741	37925
179	10801	37866
180	10856	37789
181	10910	37707
182	10964	37628
183	11023	37563
184	11072	37468
185	11122	37372
186	11179	37304
187	11262	37321
188	11334	37303
189	11394	37240
190	11442	37142
191	11490	37043
192	11554	36999
193	11611	36928
194	11668	36861
195	11720	36777
196	11782	36722
197	11838	36652
198	11891	36570
199	11952	36514
200	12008	36442
201	12085	36435
202	12136	36350
203	12166	36199
204	12219	36120
205	12275	36052
206	12327	35969
207	12376	35880
208	12434	35816
209	12486	35734
210	12545	35674
211	12599	35600
212	12661	35547
213	12716	35475
214	12774	35412
215	12832	35349
216	12899	35310
217	12952	35233
218	13007	35162
219	13052	35064
220	13105	34986
221	13156	34906
222	13202	34813
223	13252	34729
224	13305	34653
225	13365	34596
226	13423	34534
227	13482	34475
228	13549	34435
229	13614	34391
230	13676	34340
231	13739	34289
232	13788	34205
233	13842	34132
234	13896	34060
235	13954	33999
236	14012	33937
237	14071	33877
238	14125	33805
239	14172	33718
240	14225	33644
241	14270	33552
242	14321	33475
243	14382	33420
244	14439	33358
245	14492	33286
246	14542	33205
247	14635	33225
248	14693	33163
249	14748	33095
250	14804	33029
251	14850	32941
252	14899	32862
253	14950	32785
254	15008	32725
255	15063	32656
256	15117	32587
257	15168	32512
258	15210	32417
259	15265	32351
260	15313	32269
261	15367	32200
262	15417	32124
263	15472	32057
264	15525	31987
265	15575	31912
266	15623	31832
267	15669	31748
268	15714	31661
269	15767	31594
270	15819	31522
271	15884	31477
272	16017	31565
273	16091	31537
274	16153	31485
275	16206	31415
276	16259	31345
277	16324	31298
278	16384	31241
279	16446	31189
280	16506	31133
281	16563	31071
282	16617	31004
283	16700	30990
284	16772	30955
285	16832	30899
286	16900	30856
287	16968	30814
288	17026	30754
289	17082	30689
290	17140	30629
291	17203	30578
292	17261	30516
293	17311	30441
294	17374	30389
295	17432	30330
296	17488	30267
297	17610	30316
298	17792	30467
299	17864	30428
300	17928	30377
301	17986	30315
302	18034	30235
303	18094	30177
304	18149	30110
305	18209	30051
306	18276	30003
307	18334	29943
308	18387	29872
309	18446	29812
310	18506	29753
311	18565	29693
312	18626	29635
313	18692	29586
314	18772	29558
315	18829	29495
316	18905	29461
317	18980	29425
318	19039	29364
319	19091	29293
320	19143	29222
321	19198	29156
322	19254	29090
323	19304	29016
324	19358	28948
325	19413	28881
326	19469	28817
327	19531	28761
328	19585	28693
329	19641	28628
330	19692	28556
331	19747	28490
332	19805	28428
333	19852	28351
334	19913	28294
335	19973	28235
336	20022	28162
337	20075	28093
338	20127	28024
339	20186	27964
340	20238	27895
341	20287	27821
342	20346	27760
343	20407	27704
344	20470	27649
345	20526	27585
346	20588	27530
347	20650	27474
348	20709	27414
349	20867	27485
350	20924	27422
351	20994	27375
352	21052	27314
353	21119	27264
354	21181	27208
355	21240	27147
356	21307	27097
357	21367	27037
358	21430	26982
359	21482	26913
360	21553	26866
361	21609	26802
362	21656	26727
363	21721	26674
364	21833	26679
365	21881	26605
366	21937	26540
367	21992	26474
368	22050	26412
369	22115	26359
370	22171	26295
371	22289	26304
372	22342	26236
373	22391	26163
374	22446	26097
375	22490	26019
376	22555	25965
377	22608	25898
378	22657	25825
379	22711	25759
380	22765	25693
381	22822	25630
382	22871	25559
383	22932	25500
384	22989	25437
385	23037	25364
386	23108	25318
387	23159	25248
388	23219	25189
389	23281	25131
390	23349	25081
391	23403	25015
392	23468	24961
393	23532	24905
394	23585	24839
395	23652	24787
396	23713	24729
397	23767	24663
398	23818	24594
399	23873	24530
400	23938	24476
401	24006	24424
402	24081	24380
403	24147	24327
404	24216	24275
405	24270	24210
406	24330	24151
407	24389	24090
408	24447	24029
409	24513	23975
410	24570	23912
411	24623	23846
412	24682	23786
413	24751	23734
414	24810	23674
415	24874	23619
416	24936	23561
417	25029	23532
418	25093	23476
419	25162	23425
420	25239	23381
421	25296	23318
422	25356	23258
423	25416	23198
424	25469	23132
425	25520	23064
426	25584	23008
427	25635	22940
428	25692	22878
429	25749	22815
430	25808	22754
431	25893	22716
432	25949	22653
433	26008	22592
434	26060	22526
435	26118	22464
436	26178	22404
437	26246	22351
438	26302	22288
439	26359	22225
440	26414	22162
441	26474	22102
442	26536	22043
443	26589	21978
444	26644	21914
445	26694	21846
