iter	Logloss
0	0.6325282821
1	0.6046444187
2	0.5905836055
3	0.5832224673
4	0.5763786221
5	0.5732352184
6	0.5706053831
7	0.5692031211
8	0.5676713782
9	0.566778913
10	0.5652792896
11	0.5646923797
12	0.5638016767
13	0.5631593051
14	0.5628705488
15	0.5620204816
16	0.5618893636
17	0.5615470354
18	0.561224995
19	0.5605617362
20	0.5601938492
21	0.5598926382
22	0.5593919477
23	0.5590769818
24	0.5587013949
25	0.5582674826
26	0.5578443029
27	0.5572151217
28	0.5566396969
29	0.5563542159
30	0.5559366393
31	0.5554062617
32	0.5551200199
33	0.5546800869
34	0.5543561761
35	0.5541503853
36	0.5536210376
37	0.5532074676
38	0.5531055745
39	0.5529358674
40	0.5526544342
41	0.5523642578
42	0.5519531135
43	0.5515637686
44	0.5512834354
45	0.5510896309
46	0.5507137437
47	0.5502107311
48	0.5501168113
49	0.5499060464
50	0.5496259004
51	0.5493457301
52	0.5491996872
53	0.5490233555
54	0.5487207593
55	0.5484682776
56	0.5482226945
57	0.5480046549
58	0.5477642212
59	0.547593886
60	0.5473354776
61	0.5470018226
62	0.5467991524
63	0.5465765289
64	0.5462358915
65	0.5458998398
66	0.5457062367
67	0.5453065846
68	0.5452165892
69	0.545048906
70	0.5447525848
71	0.5445509248
72	0.5443914671
73	0.5441038434
74	0.5437785342
75	0.5436229044
76	0.543458051
77	0.54316208
78	0.5431558622
79	0.5428334545
80	0.5426743866
81	0.5425855682
82	0.5424416363
83	0.5421973085
84	0.5419638807
85	0.5418308502
86	0.5415849322
87	0.5412349715
88	0.5411072567
89	0.5410737236
90	0.5408584917
91	0.5404833659
92	0.5404808349
93	0.5400962492
94	0.5397426598
95	0.5395291743
96	0.5393044746
97	0.5392071811
98	0.5389993302
99	0.5388545171
