iter	Passed	Remaining
0	61	6096
1	63	3131
2	66	2142
3	68	1645
4	71	1351
5	73	1149
6	75	1001
7	77	892
8	79	806
9	81	736
10	83	679
11	86	634
12	88	592
13	90	555
14	92	523
15	94	495
16	96	470
17	98	447
18	100	428
19	102	410
20	104	393
21	106	377
22	108	362
23	110	349
24	112	337
25	114	326
26	116	315
27	118	305
28	120	296
29	122	286
30	125	279
31	127	271
32	129	263
33	131	255
34	133	248
35	135	241
36	137	234
37	140	228
38	141	221
39	143	215
40	145	209
41	148	204
42	150	199
43	152	193
44	154	188
45	156	183
46	158	179
47	161	174
48	163	170
49	165	165
50	168	161
51	170	157
52	172	152
53	174	148
54	176	144
55	178	140
56	180	136
57	182	132
58	184	128
59	186	124
60	188	120
61	190	116
62	192	113
63	194	109
64	196	105
65	198	102
66	200	98
67	202	95
68	204	91
69	206	88
70	208	85
71	210	81
72	212	78
73	215	75
74	217	72
75	220	69
76	222	66
77	225	63
78	227	60
79	229	57
80	231	54
81	233	51
82	235	48
83	237	45
84	239	42
85	241	39
86	243	36
87	245	33
88	248	30
89	249	27
90	251	24
91	253	22
92	255	19
93	257	16
94	260	13
95	262	10
96	264	8
97	267	5
98	269	2
99	271	0
